_id,Cities,Two Wheelers - Scooters,Two Wheelers - Mopeds,Two Wheelers - Motor Cycles,Cars,Jeeps,Omni Buses,Tractors,Trailers,Others,Total Non-Transport
1,Agra,90736,9208,684602,84557,7143,4120,43741,117,1481,925705
2,Ahmedabad,2470474,294835,-,634533,30858,0,54315,29094,11473,3525582
3,Allahabad,124674,55956,722241,15125,10346,53,33626,53,3003,965077
4,Allapppuzha,0,0,148705,31917,^,-,271,0,2307,183200
5,Aurangabad,45597,19398,343551,28576,11902,183,10620,6119,2152,468098
6,Bengaluru,4731159,0,0,1321815,7672,49117,14638,11150,29607,6165158
7,Bhopal,121986,0,855740,169138,0,19803,20400,0,2306,1189373
8,Chandigarh,175181,1275,190085,469672,24543,0,275,0,0,861031
9,Chennai,809900,601632,2378160,920473,12699,8820,2754,11773,58369,4804580
10,Coimbatore,371769,328177,970877,254639,5782,306,9961,1349,23600,1966460
11,Delhi,6480874,115119,***,3061817,0,4,211,0,1620,9659645
12,Dhanbad,29429,1338,462784,69176,12896,0,4721,4142,116,584602
13,Dung Bhilai,486697,74776,110446,58788,1775,7288,21203,10922,2559,774454
14,Ghaziabad,185166,27471,439883,186784,3575,858,19511,2,981,864231
15,Greater Mumbai,613580,31063,1140014,911856,29513,3714,191,102,1818,2731851
16,Hyderabad,0,43403,1949096,436231,7373,25142,1899,690,25263,2489097
17,Indore,24974,0,1435312,255835,0,39632,35227,0,3509,1794489
18,Jaipur,1882871,0,0,362256,75869,0,50101,3050,55,2374202
19,Jamshedpur,57459,9237,141877,28435,5430,32,2078,1754,0,246302
20,Jodhpur,755686,0,0,76297,33185,0,67454,8679,0,941301
21,Kannur,0,0,142354,54588,0,0,73,0,3738,200753
22,Kanpur,293797,41788,973484,170475,81459,10572,14659,196,8,1586438
23,Kolkata,342119,*,*,353373,^,^,94,**,1401,696987
24,Kota,600084,0,0,59497,22396,0,27208,8618,4,717807
25,Lucknow,424314,73760,1084181,274853,35592,570,24919,1727,4307,1924223
26,Madurai,129358,139020,594549,76439,1607,85,7395,2246,11346,962045
27,Malappuram,0,0,182087,70037,0,0,595,0,6844,259563
28,Meerut,117693,15616,368141,81269,803,15,12151,27,206,595921
29,Nagpur,494224,23422,742860,131529,39224,842,5716,5459,3933,1447209
30,Nashik,103507,27854,396145,73231,11428,82,3199,44164,11286,670896
31,Palakkad,0,0,187199,41063,0,0,1510,0,3517,233289
32,Patna,0,1311,870766,168191,35597,0,26402,15592,4260,1122119
33,Pune,402816,160467,1476514,439922,34312,718,19020,10324,8669,2552762
34,Raipur,679768,121880,215440,102256,1828,13369,41904,29038,6878,1212361
35,Rajkot,1223469,284657,***,195137,4985,0,45276,34114,10228,1797866
36,Ranchi,0,11894,485028,127947,21525,0,16033,7642,0,670069
37,Srinagar,29230,8530,91194,97207,6518,0,1773,111,1737,236300
38,Surat,2004524,239062,***,381729,18326,0,19871,11237,4920,2679669
39,Trichy,122135,252104,319280,64779,1003,80,6610,1531,7003,774525
40,Thiruvananthapuram,0,0,475045,238709,0,0,346,0,10069,724169
41,Varanasi,125856,45400,562755,59834,15761,208,17308,9362,1192,837676
42,Vadodara,1140509,378594,***,249216,17812,0,35297,17730,6400,1845558
43,TOTAL,27691615,3438247,21140395,12889201,630737,185613,720556,288114,278165,67262643
44,Share total,41.17,5.11,31.43,19.16,0.94,0.28,1.07,0.43,0.41,
